1.1 a,1.1 b,1.2 b,1.3 b,2.1 b,2.2 b,2.3 b,3.1b,3.2 b,3.3 b,4 b 
366,5.4,3.5,0,0,0.4,0,7.2,13.2,49,0
367,5.4,3.4,0,0,0.4,0,7.2,13.1,49,0
368,5.6,3.4,0,0,0.4,0,7.2,13.1,49,0
369,5.6,3.4,0,0,0.4,0,7.2,13.1,49,0
370,5.6,3.5,0,0,0.4,0,7.2,13.1,49,0
371,5.3,3.4,0,0,0.4,0,7.2,13.1,49.1,0
372,5.3,3.5,0,0,0.4,0,7.2,13.1,49.1,0
373,5.2,3.5,0,0,0.4,0,7.2,13.1,49.1,0
374,5.3,3.5,0,0,0.4,0,7.2,13.1,49,0
375,5.4,3.5,0,0,0.4,0,7.2,13.1,49,0
376,5.6,3.5,0,0,0.4,0,7.2,13.1,49.1,0
377,5.6,3.5,0,0,0.4,0,7.2,13.1,49,0
378,5.6,3.5,0,0,0.4,0,7.2,13.1,49,0
379,5.6,3.3,0,0,0.4,0,7.2,13.1,49,0
380,5.6,3.6,0,0,0.8,0,7.2,13.1,49,0
381,5.6,3.6,0,0,0.4,0,7.2,13.1,49,0
382,5.5,3.6,0,0,0.4,0,7.2,13.1,49,0
383,5.2,3.6,0,0,0.4,0,7.2,13.1,49.1,0
384,5.3,4,0,0.3,0.4,0,7.2,13.3,49.4,0.1
385,5.2,3.7,0,0.3,0.4,0,7.2,13.2,49.3,0
386,5.1,3.7,0,0.3,0.4,0,7.2,13.2,49.3,0
387,5,3.5,0,0.3,0.4,0,7.2,13.2,49.2,0
388,5,3.7,0,0.3,0.4,0,7.2,13.2,49.2,0
389,5,3.7,0,0.3,0.4,0,7.2,13.2,49.2,0
390,5.1,3.8,0,0.3,0.4,0,7.2,13.2,49.2,0
391,5.1,3.8,0,0.3,0.4,0,7.2,13.2,49.2,0
392,5,3.8,0,0.3,0.4,0,7.2,13.2,49.2,0
393,4.9,3.8,0,0.3,0.4,0,7.2,13.2,49.2,0
394,4.9,3.8,0,0.3,0.4,0,7.2,13.2,49.2,0
395,4.9,3.7,0,0.3,0.4,0,7.2,13.2,49.2,0
396,4.9,3.6,0,0.3,0.4,0,7.2,13.2,49.2,0
397,4.9,3.4,0,0.3,0.4,0,7.2,13.2,49.2,0
398,5,3.5,0,0.3,0.4,0,7.2,13.2,49.2,0
399,5.1,3.5,0,0.3,0.4,0,7.2,13.2,49.2,0
400,5.2,3.6,0,0.3,0.4,0,7.2,13.2,49.3,0
401,5.3,3.6,0,0.3,0.4,0,7.2,13.2,49.3,0
402,5.3,3.7,0,0.4,0.4,0,7.2,13.2,49.3,0
403,5.4,3.7,0,0.7,0.4,0,7.2,13.2,49.2,0
404,5.6,3.7,0,0.8,0.4,0,7.2,13.2,49.3,0
405,5.5,3.6,0,1.2,0.4,0,7.2,13.2,49.3,0
406,5.4,3.5,0,1.2,0.4,0,7.2,13.2,49.3,0
407,5.2,3.4,0,1.5,0.4,0,7.2,13.2,49.3,0
408,5.1,3.4,0,1.9,0.4,0,7.2,13.2,49.3,0
409,5.2,3.5,0,2.3,0.4,0,7.2,13.1,49.3,0
410,5.2,3.6,0,2.4,0.4,0,7.2,13.2,49.3,0
411,4.9,3.6,0,2.4,0.4,0,7.2,13.2,49.3,0
412,4.9,3.6,0,2.4,0.4,0,7.2,13.2,49.4,0
413,4.9,3.5,0,2.5,0.4,0,7.2,13.2,49.4,0
